"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0I010","2020-02-11 00:00:00","1562.000","130.000","1.100","9.800","0.660","853.500","","0.000","-99.000","-99.000","-99.000","18.300","","6.900",""
"C0V490","2020-02-11 00:00:00","20.000","344.000","1.600","19.000","0.670","1020.600","","0.000","-99.000","-99.000","-99.000","23.000","","15.700",""
"C0E870","2020-02-11 00:00:00","34.000","258.000","1.700","16.600","0.960","1020.400","","0.000","-99.000","-99.000","-99.000","21.600","","10.300",""
"C0M800","2020-02-11 00:00:00","440.000","0.000","0.000","16.200","0.850","972.500","","0.000","-99.000","-99.000","-99.000","23.100","","12.600",""
"C0A570","2020-02-11 00:00:00","360.000","0.000","0.000","11.500","0.970","982.200","","0.000","-99.000","-99.000","-99.000","15.200","","9.400",""
"C0S790","2020-02-11 00:00:00","236.000","317.000","0.300","15.800","0.800","999.200","","0.000","-99.000","-99.000","-99.000","20.600","","14.400",""
"C0D590","2020-02-11 00:00:00","143.000","134.000","0.400","14.600","0.870","1006.900","","0.000","-99.000","-99.000","-99.000","21.800","","11.500",""
"C0U990","2020-02-11 00:00:00","31.000","239.000","1.400","15.000","0.820","1021.000","","0.000","-99.000","-99.000","-99.000","18.300","","13.300",""
"C0M700","2020-02-11 00:00:00","150.000","359.000","0.400","15.300","0.940","1006.100","","0.000","-99.000","-99.000","-99.000","24.300","","11.500",""
"C0A970","2020-02-11 00:00:00","96.000","222.000","3.100","17.400","0.960","1013.300","","0.000","-99.000","-99.000","-99.000","17.600","","12.800",""
"CM0110","2020-02-11 00:00:00","7.000","10.000","1.500","16.500","0.830","1022.400","","-99.000","-99.000","-99.000","-99.000","20.100","","12.800",""
"C0S940","2020-02-11 00:00:00","150.000","271.000","1.400","17.500","0.740","1007.400","","0.000","-99.000","-99.000","-99.000","20.300","","14.000",""
"C0X250","2020-02-11 00:00:00","33.000","3.000","0.500","16.900","0.880","1019.200","","0.000","-99.000","-99.000","-99.000","24.000","","12.300",""
"C0K520","2020-02-11 00:00:00","10.000","29.000","0.600","16.300","0.920","1021.000","","0.000","-99.000","-99.000","-99.000","22.300","","11.700",""
"C0Z200","2020-02-11 00:00:00","153.000","0.000","0.000","14.600","0.990","1008.200","","0.500","-99.000","-99.000","-99.000","17.700","","13.100",""
"C0V740","2020-02-11 00:00:00","60.000","323.000","1.200","17.400","0.840","1016.900","","0.000","-99.000","-99.000","-99.000","25.600","","13.400",""
"C0V790","2020-02-11 00:00:00","410.000","360.000","0.600","16.700","0.730","974.400","","0.000","-99.000","-99.000","-99.000","24.900","","14.400",""
"C0G860","2020-02-11 00:00:00","45.000","124.000","0.600","16.400","0.830","1016.500","","0.000","-99.000","-99.000","-99.000","23.900","","12.900",""
"C0F0A0","2020-02-11 00:00:00","3587.000","188.000","3.000","1.300","0.800","665.400","","2.000","9.200","190.000","","3.800","","-3.400",""
"C0Z250","2020-02-11 00:00:00","1124.000","286.000","1.500","9.100","0.990","898.200","","3.500","-99.000","-99.000","-99.000","10.200","","7.800",""
"C0K440","2020-02-11 00:00:00","35.000","318.000","1.000","16.100","0.990","1019.300","","0.000","-99.000","-99.000","-99.000","22.800","","11.400",""
"C0T900","2020-02-11 00:00:00","160.000","263.000","0.700","15.200","0.780","1004.900","","0.000","-99.000","-99.000","-99.000","18.200","","13.200",""
"C0F9V0","2020-02-11 00:00:00","525.000","164.000","1.500","14.300","0.890","961.700","","0.000","-99.000","-99.000","-99.000","21.700","","11.500",""
"C0UA20","2020-02-11 00:00:00","2619.000","209.000","2.300","6.200","0.500","-99.000","","0.000","-99.000","-99.000","-99.000","12.700","","-0.100",""
"C0M850","2020-02-11 00:00:00","695.000","0.000","0.000","14.300","0.940","942.600","","0.000","-99.000","-99.000","-99.000","22.900","","12.000",""
"C0C620","2020-02-11 00:00:00","19.000","159.000","0.800","14.700","0.850","1019.000","","0.000","-99.000","-99.000","-99.000","22.600","","12.400",""
"C0I360","2020-02-11 00:00:00","300.000","48.000","0.700","15.100","0.860","987.200","","0.000","-99.000","-99.000","-99.000","22.400","","13.500",""
"C0M810","2020-02-11 00:00:00","1354.000","233.000","0.500","10.500","0.990","871.900","","0.000","-99.000","-99.000","-99.000","15.400","","8.700",""
"C0AC80","2020-02-11 00:00:00","40.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"CM0140","2020-02-11 00:00:00","26.000","16.000","0.800","18.500","0.640","1022.400","","0.000","-99.000","-99.000","-99.000","20.800","","16.000",""
"C0SA20","2020-02-11 00:00:00","857.000","358.000","1.500","11.500","0.970","927.700","","0.000","-99.000","-99.000","-99.000","14.000","","10.100",""
"C0K490","2020-02-11 00:00:00","91.000","0.000","0.200","15.000","0.860","1012.100","","0.000","-99.000","-99.000","-99.000","23.300","","11.700",""
"C0V820","2020-02-11 00:00:00","441.000","97.000","0.600","16.000","0.880","974.000","","0.000","-99.000","-99.000","-99.000","24.000","","11.300",""
"C0S810","2020-02-11 00:00:00","65.000","339.000","2.400","17.100","0.800","1020.100","","0.000","-99.000","-99.000","-99.000","21.100","","15.400",""
"C0R580","2020-02-11 00:00:00","10.000","317.000","1.100","18.100","0.830","1021.500","","0.000","-99.000","-99.000","-99.000","23.500","","15.000",""
"C0K510","2020-02-11 00:00:00","10.000","351.000","1.900","16.100","0.910","1021.200","","0.000","-99.000","-99.000","-99.000","22.400","","11.600",""
"C0D650","2020-02-11 00:00:00","97.000","160.000","0.900","16.300","0.770","1011.200","","0.000","-99.000","-99.000","-99.000","21.200","","12.300",""
"C0V630","2020-02-11 00:00:00","19.000","18.000","1.000","17.500","0.790","1022.800","","0.000","-99.000","-99.000","-99.000","22.100","","13.900",""
"C0U910","2020-02-11 00:00:00","17.000","236.000","0.300","14.800","0.850","1021.800","","0.000","-99.000","-99.000","-99.000","18.200","","13.900",""
"C0U600","2020-02-11 00:00:00","10.000","329.000","0.500","15.500","0.850","1022.300","","0.000","-99.000","-99.000","-99.000","18.600","","11.700",""
"C0G820","2020-02-11 00:00:00","29.000","0.000","0.100","16.000","0.950","1020.000","","0.000","-99.000","-99.000","-99.000","23.600","","11.400",""
"C0R590","2020-02-11 00:00:00","72.000","2.000","1.600","18.100","0.790","1014.100","","0.000","-99.000","-99.000","-99.000","24.800","","14.400",""
"C0A9E0","2020-02-11 00:00:00","26.000","82.000","0.600","18.100","0.610","1020.400","","0.000","-99.000","-99.000","-99.000","21.200","","13.600",""
"C0R480","2020-02-11 00:00:00","57.000","48.000","0.600","18.700","0.720","1016.100","","0.000","-99.000","-99.000","-99.000","25.100","","14.200",""
"C0X300","2020-02-11 00:00:00","70.000","0.000","0.200","15.500","0.920","1014.500","","0.000","-99.000","-99.000","-99.000","24.200","","11.200",""
"C0U970","2020-02-11 00:00:00","7.000","305.000","0.600","15.300","0.800","1024.100","","0.000","-99.000","-99.000","-99.000","18.600","","12.300",""
"C0R340","2020-02-11 00:00:00","230.000","37.000","1.800","16.200","0.890","996.700","","0.000","-99.000","-99.000","-99.000","19.200","","14.700",""
"C0M750","2020-02-11 00:00:00","10.000","19.000","1.400","16.600","0.880","1021.900","","0.000","-99.000","-99.000","-99.000","20.400","","12.400",""
"C0I110","2020-02-11 00:00:00","161.000","331.000","0.800","16.100","0.890","1004.900","","0.000","-99.000","-99.000","-99.000","24.100","","13.000",""
"C0V370","2020-02-11 00:00:00","74.000","81.000","0.300","15.100","0.920","1014.800","","0.000","-99.000","-99.000","-99.000","25.500","","11.300",""
"C0Z330","2020-02-11 00:00:00","488.000","143.000","0.600","13.200","0.860","970.500","","0.000","-99.000","-99.000","-99.000","16.800","","11.300",""
"C0E590","2020-02-11 00:00:00","40.000","104.000","1.300","15.000","0.980","1017.300","","0.000","-99.000","-99.000","-99.000","21.000","","10.000",""
"C0D540","2020-02-11 00:00:00","227.000","0.000","0.000","13.600","0.920","997.100","","0.000","-99.000","-99.000","-99.000","21.900","","10.500",""
"C0K420","2020-02-11 00:00:00","42.000","322.000","1.200","15.800","0.930","1018.000","","0.000","-99.000","-99.000","-99.000","23.100","","11.400",""
"C0Z180","2020-02-11 00:00:00","34.000","184.000","1.200","17.100","0.740","1020.800","","0.000","-99.000","-99.000","-99.000","19.300","","15.000",""
"C0AD10","2020-02-11 00:00:00","27.000","247.000","1.200","18.000","0.600","1018.700","","0.000","-99.000","-99.000","-99.000","20.300","","12.200",""
"C0M720","2020-02-11 00:00:00","225.000","92.000","1.000","17.000","0.760","996.400","","0.000","-99.000","-99.000","-99.000","22.600","","12.100",""
"C0V450","2020-02-11 00:00:00","51.000","0.000","0.000","15.800","0.990","1016.400","","0.000","-99.000","-99.000","-99.000","24.500","","13.800",""
"C0R280","2020-02-11 00:00:00","242.000","62.000","2.100","17.300","0.770","995.800","","31.000","-99.000","-99.000","-99.000","17.400","","14.900",""
"C0E610","2020-02-11 00:00:00","850.000","0.000","0.000","12.600","0.790","926.800","","0.000","-99.000","-99.000","-99.000","18.700","","10.900",""
"C0V610","2020-02-11 00:00:00","22.000","357.000","1.300","17.400","0.780","1020.000","","0.000","-99.000","-99.000","-99.000","21.500","","13.500",""
"C0Z310","2020-02-11 00:00:00","59.000","10.000","1.700","17.200","0.710","1018.200","","0.000","-99.000","-99.000","-99.000","17.800","","15.100",""
"C0S700","2020-02-11 00:00:00","507.000","231.000","0.800","13.700","0.910","967.900","","0.000","-99.000","-99.000","-99.000","16.400","","12.300",""
"C0T9G0","2020-02-11 00:00:00","605.000","236.000","0.600","12.800","1.000","957.300","","1.000","-99.000","-99.000","-99.000","14.300","","10.400",""
"C0U520","2020-02-11 00:00:00","517.000","224.000","0.800","11.100","0.990","966.900","","0.000","-99.000","-99.000","-99.000","13.500","","8.900",""
"C0U720","2020-02-11 00:00:00","1260.000","0.000","0.100","7.600","1.000","893.700","","0.500","-99.000","-99.000","-99.000","9.400","","5.800",""
"C0W140","2020-02-11 00:00:00","21.000","54.000","0.700","14.500","0.740","1022.700","","0.000","-99.000","-99.000","-99.000","17.100","","10.100",""
"C0G660","2020-02-11 00:00:00","27.000","330.000","1.800","16.800","0.940","1021.400","","0.000","-99.000","-99.000","-99.000","23.700","","12.500",""
"C0E750","2020-02-11 00:00:00","62.000","232.000","0.800","16.800","0.820","1016.000","","0.000","-99.000","-99.000","-99.000","22.100","","10.900",""
"C0R470","2020-02-11 00:00:00","103.000","76.000","0.300","18.700","0.810","1011.200","","0.000","-99.000","-99.000","-99.000","25.800","","14.800",""
"C0W120","2020-02-11 00:00:00","58.000","-99.000","-99.000","16.000","0.880","1016.600","","0.000","-99.000","-99.000","-99.000","17.900","","15.400",""
"C0V350","2020-02-11 00:00:00","36.000","262.000","0.400","15.700","0.900","1019.800","","0.000","-99.000","-99.000","-99.000","27.100","","13.000",""
"CM0160","2020-02-11 00:00:00","159.000","112.000","0.600","15.000","0.880","1005.700","","0.000","-99.000","-99.000","-99.000","26.700","","11.200",""
"C0O990","2020-02-11 00:00:00","18.000","350.000","0.500","17.000","0.990","1020.400","","0.000","-99.000","-99.000","-99.000","25.200","","12.000",""
"C0E430","2020-02-11 00:00:00","258.000","186.000","1.900","13.500","0.920","996.000","","0.000","-99.000","-99.000","-99.000","20.800","","9.800",""
"C0D390","2020-02-11 00:00:00","146.000","0.000","0.000","12.700","0.940","1004.200","","0.000","-99.000","-99.000","-99.000","22.200","","12.200",""
"C0T9F0","2020-02-11 00:00:00","251.000","271.000","1.200","15.200","0.730","995.900","","0.000","-99.000","-99.000","-99.000","16.700","","12.300",""
"C0R350","2020-02-11 00:00:00","35.000","86.000","6.700","21.100","0.640","1019.100","","0.000","11.800","93.000","","21.700","","18.100",""
"C0K550","2020-02-11 00:00:00","15.000","349.000","1.700","16.200","0.910","1021.600","","0.000","-99.000","-99.000","-99.000","22.500","","11.300",""
"C0C670","2020-02-11 00:00:00","250.000","204.000","0.300","13.900","0.810","993.700","","0.000","-99.000","-99.000","-99.000","19.300","","11.200",""
"C0A980","2020-02-11 00:00:00","11.000","0.000","0.000","17.100","0.650","1022.400","","0.000","-99.000","-99.000","-99.000","20.800","","13.300",""
"C0UA60","2020-02-11 00:00:00","566.000","281.000","1.200","12.800","0.830","958.400","","0.000","-99.000","-99.000","-99.000","13.400","","9.800",""
"C0V720","2020-02-11 00:00:00","15.000","49.000","1.100","19.200","0.700","1021.000","","0.000","-99.000","-99.000","-99.000","23.400","","15.900",""
